SKU,Retail Price ,Wholesale Price,UPC,Quantity,Item Size,Name,URL,Brand,Product Category,Item Type
186989,80,28.5,22548199466,24,3.4 OZ,NEW WEST by Aramis,https://www.fragrancenet.com/new-west-cologne/aramis/mens-fragrances/mf/en_US/01749,NEW WEST,Fragrance,Fragrances
188311,100,53.5,3473311840103,24,1 OZ,Sisley by Sisley,https://www.fragrancenet.com/sisley-skin-care/anti-aging/sisley/facial/sc/en_US/02172,Sisley,Skincare,Day Care
191176,39,29.5,773602010486,24,0.52 OZ,MAC by MAC,https://www.fragrancenet.com/mac-Makeup/mac/Cosmetics/cos/en_US/01557,MAC,Makeup,Powder
192055,150,72,3700358123402,24,1.6 OZ,SERGE LUTENS NUIT DE CELLOPHANE by Serge Lutens,https://www.fragrancenet.com/serge-lutens-nuit-de-cellophane-perfume/serge-lutens/womens-fragrances/wf/en_US/21249,SERGE LUTENS NUIT DE CELLOPHANE,Fragrance,Fragrances
192512,78,58,4909978102401,2,3.3 OZ,SHISEIDO by Shiseido,https://www.fragrancenet.com/shiseido-skin-care/anti-aging/shiseido/facial/sc/en_US/02152,SHISEIDO,Skincare,Day Care
192630,52,31,3351500951758,6,1.7 OZ,CHROME SPORT by Azzaro,https://www.fragrancenet.com/chrome-sport-cologne/azzaro/mens-fragrances/mf/en_US/21295,CHROME SPORT,Fragrance,Fragrances
195438,14,12.5,636581990944,2,N/A,SPA ACCESSORIES by Spa Accessories,https://www.fragrancenet.com/spa-accessories-aromatherapy/spa-accessories/essential-oils/at/en_US/21488,SPA ACCESSORIES,Aromatherapy,Aromatherapy
197017,32.5,32.5,3380810228793,5,N/A,Clarins by Clarins,https://www.fragrancenet.com/clarins-Makeup/clarins/Cosmetics/cos/en_US/00556,Clarins,Makeup,Blush & Cheek
293606,72,72,888066030212,24,5 OZ,TOM FORD OUD WOOD by Tom Ford,https://www.fragrancenet.com/tom-ford-oud-wood-cologne/tom-ford/mens-fragrances/mf/en_US/21386,TOM FORD OUD WOOD,Fragrance,Bath & Body
293806,24,12,844061014480,24,8 OZ,PERRY ELLIS 360 by Perry Ellis,https://www.fragrancenet.com/perry-ellis-360-perfume/perry-ellis/womens-fragrances/wf/en_US/01877,PERRY ELLIS 360,Fragrance,Fragrances
294049,48,8.5,3414202520032,24,3.4 OZ,JIL SANDER SUN DELIGHT by Jil Sander,https://www.fragrancenet.com/jil-sander-sun-delight-perfume/jil-sander/womens-fragrances/wf/en_US/25005,JIL SANDER SUN DELIGHT,Fragrance,Fragrances
294160,105,42,3614226905154,24,3.3 OZ,BURBERRY BRIT by Burberry,https://www.fragrancenet.com/burberry-brit-cologne/burberry/mens-fragrances/mf/en_US/05751,BURBERRY BRIT,Fragrance,Fragrances
294853,29,22.5,3274872336858,11,0.03 OZ,GIVENCHY by Givenchy,https://www.fragrancenet.com/givenchy-Makeup/givenchy/Cosmetics/cos/en_US/01059,GIVENCHY,Makeup,Lip Liner
295946,22,8.25,719346636933,24,8 OZ,FANTASY BRITNEY SPEARS by Britney Spears,https://www.fragrancenet.com/fantasy-britney-spears-perfume/britney-spears/womens-fragrances/wf/en_US/07411,FANTASY BRITNEY SPEARS,Fragrance,Bath & Body
296107,170,81.5,3760260453127,12,3.4 OZ,MONTALE PARIS ROSE ELIXIR by Montale,https://www.fragrancenet.com/montale-paris-rose-elixir-perfume/montale/womens-fragrances/wf/en_US/29766,MONTALE PARIS ROSE ELIXIR,Fragrance,Fragrances
296164,230,178,730870197202,5,5 OZ,DOLCE & GABBANA VELVET PURE by Dolce & Gabbana,https://www.fragrancenet.com/dolce-%26-gabbana-velvet-pure-perfume/dolce-%26-gabbana/womens-fragrances/wf/en_US/29826,DOLCE & GABBANA VELVET PURE,Fragrance,Fragrances
296564,125,84.5,3346470131392,24,1.6 OZ,MON GUERLAIN by Guerlain,https://www.fragrancenet.com/mon-guerlain-perfume/guerlain/womens-fragrances/wf/en_US/29909,MON GUERLAIN,Fragrance,Fragrances
296968,22,8.25,812256026549,1,8 OZ,NICKI MINAJ MINAJESTY by Nicki Minaj,https://www.fragrancenet.com/nicki-minaj-minajesty-perfume/nicki-minaj/womens-fragrances/wf/en_US/24060,NICKI MINAJ MINAJESTY,Fragrance,Bath & Body
297375,8.45,7.75,3252550609609,5,3.5 OZ,ROGER & GALLET JEAN MARIE FARINA by Roger & Gallet,https://www.fragrancenet.com/roger-%26-gallet-jean-marie-farina-fragrance/roger-%26-gallet/womens-fragrances/wf/en_US/20048,ROGER & GALLET JEAN MARIE FARINA,Fragrance,Fragrances
297511,42,34.5,737052944678,19,2 OZ,LACOSTE LIVE by Lacoste,https://www.fragrancenet.com/lacoste-live-cologne/lacoste/mens-fragrances/mf/en_US/24402,LACOSTE LIVE,Fragrance,Fragrances
197735,52,18.5,844061001404,18,3.4 OZ,PERRY ELLIS 360 WHITE by Perry Ellis,https://www.fragrancenet.com/perry-ellis-360-white-cologne/perry-ellis/mens-fragrances/mf/en_US/06293,PERRY ELLIS 360 WHITE,Fragrance,Fragrances
197935,22,4,3661163965833,17,1.7 OZ,PLAYBOY VEGAS by Playboy,https://www.fragrancenet.com/playboy-vegas-cologne/playboy/mens-fragrances/mf/en_US/20572,PLAYBOY VEGAS,Fragrance,Fragrances
198621,70,26,8011530900021,6,3.4 OZ,FERRE ACQUA AZZURRA  by Gianfranco Ferre,https://www.fragrancenet.com/ferre-acqua-azzurra--cologne/gianfranco-ferre/mens-fragrances/mf/en_US/21526,FERRE ACQUA AZZURRA ,Fragrance,Fragrances
200161,84,45.5,737052352046,24,3.3 OZ,BOSS BOTTLED NIGHT by Hugo Boss,https://www.fragrancenet.com/boss-bottled-night-cologne/hugo-boss/mens-fragrances/mf/en_US/21491,BOSS BOTTLED NIGHT,Fragrance,Fragrances
200182,104,91,3365440556386,24,3 OZ,OPIUM by Yves Saint Laurent,https://www.fragrancenet.com/opium-perfume/yves-saint-laurent/womens-fragrances/wf/en_US/01809,OPIUM,Fragrance,Fragrances
200829,46,31,362032321165,4,6.7 OZ,Obagi by Obagi,https://www.fragrancenet.com/obagi-skin-care/anti-aging/obagi/facial/sc/en_US/23243,Obagi,Skincare,Cleanser
202522,100,61.5,8411061067918,24,3.4 OZ,CH CAROLINA HERRERA (NEW) by Carolina Herrera,https://www.fragrancenet.com/ch-carolina-herrera-(new)-perfume/carolina-herrera/womens-fragrances/wf/en_US/19246,CH CAROLINA HERRERA (NEW),Fragrance,Fragrances
202790,80,46.99,3349668508471,7,1 OZ,PACO RABANNE LADY MILLION by Paco Rabanne,https://www.fragrancenet.com/paco-rabanne-lady-million-perfume/paco-rabanne/womens-fragrances/wf/en_US/21759,PACO RABANNE LADY MILLION,Fragrance,Fragrances
